Abarth	151.78947368421052
Alfa Romeo	207.60645161290321
Aston Martin Lagonda	371.6190476190476
Audi	199.6460146188653
BMW	189.67380224260958
Bentley Motors	419.5
Cadillac	254.77906976744185
Chevrolet	179.91873589164786
Chrysler Jeep	248.18688524590164
Citroen	160.11764705882354
Corvette	316.09615384615387
Dacia	132.88888888888889
Daewoo Cars	216.93589743589743
Daihatsu	158.36094674556213
Dodge	212.36507936507937
Ferrari	417.4567901234568
Fiat	156.04558404558404
Ford	170.15843621399176
Honda	176.6153846153846
Hummer	336.5
Hyundai	172.02028081123245
Infiniti	253.5744680851064
Isuzu	308.4230769230769
Jaguar Cars	249.27373068432672
Kia	160.17614424410542
LTI	224.56666666666666
Lamborghini	476.2135922330097
Land Rover	273.0662251655629
Lexus	220.56470588235294
Lotus	241.22471910112358
MG Motors UK	171.0
MG Motors Uk	181.75
MG Rover Group	196.8468085106383
Maserati	382.2068965517241
Mazda	175.23307086614173
McLaren	279.0
Mercedes-Benz	201.92357779300892
Metrocab	258.09090909090907
Micro Compact Car	118.14117647058823
Mini	149.4690026954178
Mitsubishi	207.09908735332465
Morgan Motor Company	225.72727272727272
Nissan	189.66216216216216
Perodua	141.2622950819672
Peugeot	161.67671394799055
Porsche	262.6155115511551
Proton	198.52509652509653
Renault	173.1945945945946
Rolls-Royce	393.7313432835821
Rover Group Limited	191.03389830508473
Saab	210.20731707317074
Seat	157.83098591549296
Skoda	158.47376201034737
Smart	116.83445945945945
SsangYong	230.64880952380952
Subaru	205.62738301559793
Suzuki	173.7250470809793
Tata	255.57142857142858
Toyota	169.80184331797236
Vauxhall	174.55085769509543
Volkswagen	183.6685221263568
Volvo	194.9755838641189
